scenario,policy,replications,rounds,committed_tokens,wall_time_ms,ppl_loss_total,hard_ends,hard_violations,catastrophes,measurement_count,fallback_count,committed_tokens_per_second,replicate_mean_tokens_per_second,tokens_per_second_se,tokens_per_second_ci95_low,tokens_per_second_ci95_high,ppl_loss_per_token,replicate_mean_ppl_loss_per_token,ppl_loss_per_token_se,ppl_loss_per_token_ci95_low,ppl_loss_per_token_ci95_high,hard_violation_probability,hard_violation_wilson95_low,hard_violation_wilson95_high,replicate_mean_hard_violation_probability,hard_violation_replicate_se,hard_violation_replicate_ci95_low,hard_violation_replicate_ci95_high,catastrophe_per_token,catastrophe_wilson95_low,catastrophe_wilson95_high,bytes_per_token_mb,measurement_fraction,fallback_fraction,measurement_time_fraction,guard_time_fraction,mean_cache_level,mean_io_queue,hidden_hard_fraction,debt_and_queue2_fraction,ood_latched_replication_fraction,ppl_constraint_met_point,ppl_constraint_met_ci95,hard_constraint_met_point,hard_constraint_met_wilson95,catastrophe_constraint_met_point,catastrophe_constraint_met_wilson95
calibrated,best_fixed,12,6000,10279,347452.08001352195,15.107557036947394,122,4,0,0,0,29.583935717408767,29.587457870245743,0.16326900036828904,29.228105223332143,29.946810517159342,0.0014697496874158376,0.0014775420541798517,0.0002589097330511586,0.0009076855739309639,0.0020473985344287393,0.03278688524590164,0.012822598471338105,0.08127563379380506,0.024688852813852812,0.013834630087829562,-0.005760962704817338,0.05513866833252296,0.0,0.0,0.00037357950485552736,15.499592308444782,0.0,0.0,0.0,0.0,1.5468333333333333,1.3296666666666668,0.2966666666666667,0.013,0.0,True,True,True,False,True,False
calibrated,exact_joint,12,6000,16020,427319.65511352796,28.649411427513606,138,4,1,540,0,37.48949950767861,37.486527193435506,0.114866745034364,37.23370719222684,37.739347194644175,0.001788352773253034,0.001790869724456543,0.00013773451481412287,0.0014877181013182366,0.0020940213475948493,0.028985507246376812,0.011328415842255964,0.07215534778473304,0.0327991452991453,0.014745876932600495,0.00034368899795399893,0.06525460160033661,6.242197253433208e-05,1.101909590468244e-05,0.00035352887068035624,7.141369627868507,0.09,0.0,0.0015826196576968926,0.0,1.8445,0.377,0.29683333333333334,0.007833333333333333,0.0,True,True,True,False,True,False
calibrated,independent_thresholds,12,6000,16299,588666.4665344863,13.266953611791827,106,1,1,0,0,27.68800488322897,27.704379958051295,0.16640293481104507,27.338129567936488,28.0706303481661,0.0008139734714885469,0.0008184438587059154,0.00011754311832313959,0.0005597331996057896,0.0010771545178060412,0.009433962264150943,0.0016672717027588942,0.051513548029704384,0.009259259259259259,0.00925925925925926,-0.011120232963811472,0.02963875148232999,6.135345726731701e-05,1.0830473838133772e-05,0.00034747877154397023,8.520164709376166,0.0,0.0,0.0,0.0,1.1658333333333333,1.1393333333333333,0.36983333333333335,0.007333333333333333,0.0,True,True,True,False,True,True
calibrated,myopic_voi,12,6000,13594,385669.2186473978,102.92791848342702,103,19,6,188,0,35.24782207840253,35.23914198087227,0.17904533330694644,34.84506585928002,35.63321810246452,0.007571569698648449,0.0075934777116515,0.0003526744544628389,0.006817246471035377,0.008369708952267622,0.18446601941747573,0.12139537223023855,0.27022656257424815,0.19520502645502644,0.02826238697112891,0.13299993214280442,0.25741012076724845,0.00044137119317345886,0.00020229957878114472,0.0009626984739368497,10.035524041076622,0.03133333333333333,0.0,0.0006101182997404881,0.0,1.2891666666666666,1.065,0.4666666666666667,0.06616666666666667,0.0,False,False,False,False,False,False
calibrated,primal_dual_joint,12,6000,15926,462943.62716834614,52.33625323619423,123,11,0,0,0,34.401596793573795,34.39456284678611,0.26519567937033034,33.81087109197159,34.978254601600625,0.0032862145696467555,0.0032912165506456727,6.047200896345783e-05,0.0031581185563161734,0.003424314544975172,0.08943089430894309,0.05067093036620062,0.1530594513319804,0.09881345506345506,0.025291055817991924,0.04314821652500553,0.15447869360190458,0.0,0.0,0.0002411485908773452,9.644679430105661,0.0,0.0,0.0,0.0,1.5636666666666668,0.8048333333333333,0.3446666666666667,0.026833333333333334,0.0,True,True,False,False,True,True
calibrated,robust_safe_joint,12,6000,16414,458769.2567895494,5.6179833203927805,104,0,0,443,1353,35.778334657523864,35.77066901621561,0.22761699946992553,35.269687378197716,36.2716506542335,0.00034226777874940784,0.00034221980782704007,2.3821625596070977e-05,0.0002897887634008287,0.00039465085225325145,0.0,0.0,0.0356213543724519,0.0,0.0,0.0,0.0,0.0,0.0,0.00023398074773284223,7.601414719399231,0.07383333333333333,0.2255,0.0012057239934473096,0.002354124614970499,1.7925,0.4031666666666667,0.25333333333333335,0.0,0.0,True,True,True,False,True,True
calibrated,safe_exact_fixed,12,6000,10859,449273.011436738,0.0,130,0,0,0,0,24.170158731043767,24.178081803669333,0.13768994694919715,23.875028273740345,24.48113533359832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02870156119443141,0.0,0.0,0.0,0.0,0.0,0.0,0.00035363296382962813,10.092699071364112,0.0,0.0,0.0,0.0,1.3783333333333334,0.36583333333333334,0.19483333333333333,0.0,0.0,True,True,True,True,True,False
distribution_shift,best_fixed,12,6000,9847,400134.1790547917,35.03287384005462,136,10,5,0,0,24.609244886954826,24.61671885252093,0.1779412123053046,24.225072884868236,25.00836482017362,0.0035577205077744105,0.0035699493567444705,0.00045642019812267974,0.0025653752739103666,0.0045745234395785745,0.07352941176470588,0.040427341245736846,0.13006186146820106,0.07537878787878788,0.026682291654318093,0.016651459910396772,0.134106115847179,0.0005077688636132832,0.00021690739387843054,0.0011881968176303366,16.40672641831063,0.0,0.0,0.0,0.0,1.4411666666666667,1.3486666666666667,0.4578333333333333,0.03883333333333333,0.0,True,False,False,False,False,False
distribution_shift,exact_joint,12,6000,13866,453278.101547283,57.26757347424674,126,11,4,979,0,30.59049169299786,30.581644751679647,0.21959083913952543,30.09832857344148,31.064960929917813,0.004130071648222035,0.004130280427865109,0.0002478908428655875,0.0035846763613953427,0.004675884494334875,0.0873015873015873,0.04944684363252965,0.14957632705118964,0.09178668553668552,0.02488932136251771,0.03700565857303224,0.14656771250033881,0.0002884754074715131,0.0001121879903714632,0.000741567898320646,7.621561113800439,0.16316666666666665,0.0,0.0031385257303399423,0.0,1.7886666666666666,0.5463333333333333,0.4876666666666667,0.019,0.0,True,False,False,False,True,False
distribution_shift,independent_thresholds,12,6000,14692,649329.4194084763,61.94216751654464,126,11,3,0,0,22.626419750677652,22.632528702173868,0.2009162563717761,22.19031500347842,23.074742400869315,0.00421604733981382,0.004213583412589264,0.0003683599468696642,0.0034028286359569886,0.005024338189221539,0.0873015873015873,0.04944684363252965,0.14957632705118964,0.09842047930283225,0.03759874219239746,0.015666205699254074,0.18117475290641044,0.00020419275796351757,6.944633956331467e-05,0.0006002301024608413,9.500599835051972,0.0,0.0,0.0,0.0,1.147,1.1346666666666667,0.5158333333333334,0.038,0.0,True,False,False,False,True,False
